,host_id,price,room_type,bedrooms,beds,bathrooms,bed_type
523,845387,55,Private room,1.0,1.0,1.0,Real Bed
524,845387,90,Entire home/apt,1.0,1.0,1.0,Real Bed
525,852299,99,Entire home/apt,1.0,1.0,1.0,Real Bed
526,856522,99,Entire home/apt,1.0,1.0,1.0,Real Bed
527,856540,245,Entire home/apt,2.0,4.0,1.0,Real Bed
528,860335,130,Entire home/apt,2.0,2.0,1.0,Real Bed
529,860750,59,Entire home/apt,1.0,2.0,1.0,Real Bed
530,863929,94,Entire home/apt,1.0,1.0,1.0,Real Bed
531,864375,150,Entire home/apt,1.0,1.0,1.0,Real Bed
532,864444,225,Entire home/apt,4.0,4.0,1.0,Real Bed
533,864883,130,Entire home/apt,3.0,1.0,1.0,Real Bed
534,867565,185,Entire home/apt,1.0,1.0,1.0,Real Bed
535,870437,90,Entire home/apt,1.0,1.0,1.0,Real Bed
536,871427,97,Entire home/apt,1.0,1.0,1.0,Real Bed
537,874863,60,Private room,1.0,1.0,1.0,Real Bed
538,880087,119,Private room,1.0,2.0,1.0,Real Bed
539,883996,195,Entire home/apt,2.0,4.0,1.0,Real Bed
540,887792,95,Entire home/apt,1.0,1.0,1.5,Real Bed
541,888292,195,Entire home/apt,4.0,5.0,1.0,Real Bed
542,892550,129,Entire home/apt,2.0,2.0,1.0,Real Bed
543,895838,130,Entire home/apt,1.0,1.0,1.0,Real Bed
544,897828,175,Entire home/apt,1.0,1.0,1.0,Real Bed
545,898904,95,Entire home/apt,1.0,1.0,1.0,Real Bed
546,907405,40,Private room,1.0,1.0,1.0,Real Bed
547,909523,190,Entire home/apt,2.0,6.0,1.0,Real Bed
548,913437,425,Entire home/apt,2.0,4.0,1.5,Real Bed
549,915591,140,Entire home/apt,1.0,4.0,1.0,Real Bed
550,920732,90,Entire home/apt,1.0,2.0,,Real Bed
551,922621,135,Entire home/apt,2.0,2.0,1.0,Real Bed
552,922787,100,Entire home/apt,2.0,2.0,1.0,Real Bed
553,923690,95,Entire home/apt,1.0,1.0,1.5,Real Bed
554,925309,150,Entire home/apt,2.0,2.0,1.5,Real Bed
555,926109,65,Private room,1.0,1.0,1.5,Real Bed
556,932290,139,Entire home/apt,2.0,3.0,1.0,Real Bed
557,935723,85,Entire home/apt,2.0,4.0,2.0,Real Bed
558,935723,75,Entire home/apt,1.0,4.0,1.5,Real Bed
559,935723,65,Entire home/apt,1.0,2.0,0.5,Real Bed
560,935723,69,Entire home/apt,1.0,2.0,1.0,Real Bed
561,935742,80,Entire home/apt,1.0,1.0,1.0,Real Bed
562,938222,120,Entire home/apt,2.0,3.0,1.0,Real Bed
563,938222,100,Entire home/apt,2.0,3.0,1.0,Real Bed
564,939224,110,Entire home/apt,1.0,1.0,1.0,Real Bed
565,940879,100,Entire home/apt,1.0,1.0,1.0,Real Bed
